City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tuktoyaktuk,CA,44.6,broken clouds,69.4541,-133.0374,End of The Road Ltd.
2,Thakurganj,IN,76.84,scattered clouds,26.45,88.1333,गुलमोहम्मद गोथरा बाबुलरेज़ा
3,Kodiak,US,51.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
4,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
5,Bambanglipuro,ID,74.66,broken clouds,-7.95,110.2833,Puri Brata
6,Ushuaia,AR,47.86,heavy intensity rain,-54.8,-68.3,Albatros Hotel
8,Mataura,NZ,50.49,light rain,-46.1927,168.8643,Ellie's Villa
9,Bluff,NZ,50.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
10,Busselton,AU,46.04,clear sky,-33.65,115.3333,Observatory Guest House
11,Archena,ES,74.07,clear sky,38.1163,-1.3004,Hotel La Parra
12,Hobart,AU,47.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
13,Bonoua,CI,76.62,scattered clouds,5.2741,-3.595,Hotel Bon Samaritian
14,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
16,Port Alfred,ZA,60.98,broken clouds,-33.5906,26.891,The Halyards Hotel
18,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
20,Sai Buri,TH,75.99,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
26,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
28,Saint-Philippe,RE,63.99,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
29,Nabire,ID,74.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
30,Butaritari,KI,83.16,broken clouds,3.0707,172.7902,Isles Sunset Lodge
31,Rikitea,PF,73.89,clear sky,-23.1203,-134.9692,People ThankYou
32,Kaitangata,NZ,49.26,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
33,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Hermanus,ZA,56.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
35,Orocue,CO,83.82,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
36,Lashio,MM,67.39,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
