City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,53,75,16.11,broken clouds
1,Dikson,RU,73.5069,80.5464,35.56,77,100,19.84,overcast clouds
2,Thakurganj,IN,26.45,88.1333,76.84,94,26,6.49,scattered clouds
3,Kodiak,US,57.79,-152.4072,51.31,71,1,3.44,clear sky
4,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,75,4.61,broken clouds
5,Bambanglipuro,ID,-7.95,110.2833,74.66,89,65,7.25,broken clouds
6,Ushuaia,AR,-54.8,-68.3,47.86,49,75,24.16,heavy intensity rain
7,Ilulissat,GL,69.2167,-51.1,17.35,69,100,5.03,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,50.49,72,58,4.72,light rain
9,Bluff,NZ,-46.6,168.3333,50.81,79,82,15.19,broken clouds
10,Busselton,AU,-33.65,115.3333,46.04,82,0,11.68,clear sky
11,Archena,ES,38.1163,-1.3004,74.07,69,0,3.27,clear sky
12,Hobart,AU,-42.8794,147.3294,47.26,79,75,5.99,broken clouds
13,Bonoua,CI,5.2741,-3.595,76.62,93,25,4.76,scattered clouds
14,San Cristobal,VE,7.7669,-72.225,78.98,86,65,3.53,broken clouds
15,Tasiilaq,GL,65.6145,-37.6368,37.56,75,84,1.97,broken clouds
16,Port Alfred,ZA,-33.5906,26.891,60.98,82,74,9.28,broken clouds
17,Iqaluit,CA,63.7506,-68.5145,35.33,75,40,19.57,scattered clouds
18,Avarua,CK,-21.2078,-159.775,78.85,78,75,14.97,broken clouds
19,Beatrice,US,40.2681,-96.747,91.04,43,1,20.71,clear sky
20,Sai Buri,TH,6.7013,101.6168,75.99,90,100,7.56,overcast clouds
21,Kyra,RU,49.5776,111.9753,48.85,89,100,1.57,overcast clouds
22,Saint Anthony,US,45.0205,-93.218,89.92,43,1,3.0,clear sky
23,Lavrentiya,RU,65.5833,-171.0,32.22,62,3,10.2,clear sky
24,Saskylakh,RU,71.9167,114.0833,27.9,94,100,5.95,overcast clouds
25,Albany,US,42.6001,-73.9662,70.38,65,5,3.2,clear sky
26,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,75,10.0,broken clouds
27,Ladario,BR,-19.0047,-57.6017,102.49,21,6,14.97,clear sky
28,Saint-Philippe,RE,-21.3585,55.7679,63.99,69,5,6.49,clear sky
29,Nabire,ID,-3.3667,135.4833,74.84,90,100,2.68,overcast clouds
30,Butaritari,KI,3.0707,172.7902,83.16,67,76,14.36,broken clouds
31,Rikitea,PF,-23.1203,-134.9692,73.89,76,3,11.59,clear sky
32,Kaitangata,NZ,-46.2817,169.8464,49.26,77,45,5.64,scattered clouds
33,Kapaa,US,22.0752,-159.319,80.58,73,90,1.99,light rain
34,Hermanus,ZA,-34.4187,19.2345,56.89,78,0,12.46,clear sky
35,Orocue,CO,4.7912,-71.3354,83.82,69,97,1.9,overcast clouds
36,Lashio,MM,22.9333,97.75,67.39,100,100,0.85,overcast clouds
37,Otane,NZ,-39.8833,176.6333,55.38,55,38,11.32,scattered clouds
38,Port-Gentil,GA,-0.7193,8.7815,78.76,78,40,9.22,scattered clouds
39,Imbituba,BR,-28.24,-48.6703,73.29,97,64,13.73,moderate rain
40,Narsaq,GL,60.9167,-46.05,38.62,84,70,3.0,broken clouds
41,Cabo San Lucas,MX,22.8909,-109.9124,94.51,73,43,7.72,scattered clouds
42,Maldonado,UY,-34.6667,-54.9167,62.22,95,100,11.23,overcast clouds
43,Victoria,HK,22.2855,114.1577,84.33,87,21,4.74,few clouds
44,Mount Isa,AU,-20.7333,139.5,73.17,38,3,6.91,clear sky
45,Punta Arenas,CL,-53.15,-70.9167,46.51,71,75,24.16,light intensity shower rain
46,Muana,BR,-1.5283,-49.2167,79.81,79,89,7.45,overcast clouds
47,Chuy,UY,-33.6971,-53.4616,61.5,97,100,8.52,overcast clouds
48,Cape Town,ZA,-33.9258,18.4232,58.12,90,40,1.01,light rain
49,Luganville,VU,-15.5333,167.1667,77.25,80,94,14.88,overcast clouds
50,Pinega,RU,64.7001,43.3936,40.35,67,100,3.78,overcast clouds
51,Dunedin,NZ,-45.8742,170.5036,55.8,56,62,8.01,broken clouds
52,Taoudenni,ML,22.6783,-3.9836,99.75,10,0,6.33,clear sky
53,Hofn,IS,64.2539,-15.2082,50.45,83,79,14.16,broken clouds
54,Hilo,US,19.7297,-155.09,84.27,67,90,4.61,light rain
55,Vila Velha,BR,-20.3297,-40.2925,75.15,83,40,4.61,scattered clouds
56,Japura,ID,-0.3167,102.35,70.11,95,86,1.57,overcast clouds
57,Alta Floresta,BR,-9.8756,-56.0861,86.04,28,1,3.04,clear sky
58,Bambous Virieux,MU,-20.3428,57.7575,70.05,60,40,5.75,scattered clouds
59,Atuona,PF,-9.8,-139.0333,78.15,77,36,21.41,scattered clouds
60,Ostrovnoy,RU,68.0531,39.5131,36.81,79,26,6.67,scattered clouds
61,Mahebourg,MU,-20.4081,57.7,70.09,60,40,5.75,scattered clouds
62,Honiara,SB,-9.4333,159.95,81.5,81,96,10.49,overcast clouds
63,East London,ZA,-33.0153,27.9116,61.81,83,13,12.5,few clouds
64,Istisu,AZ,40.9457,48.0738,54.27,62,0,4.14,clear sky
65,Haines Junction,CA,60.7522,-137.5108,53.55,47,66,3.44,broken clouds
66,Vangaindrano,MG,-23.35,47.6,63.09,85,81,2.91,light rain
67,Chingirlau,KZ,51.095,54.0814,42.49,49,56,4.74,broken clouds
68,Kamenka,RU,51.3223,42.7678,51.55,56,100,19.42,moderate rain
69,Metu,ET,8.3,35.5833,58.24,98,100,2.26,overcast clouds
70,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,83,40,10.4,scattered clouds
71,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,83,75,14.97,broken clouds
72,Orlik,RU,52.5178,99.825,44.74,64,86,2.68,overcast clouds
73,Vaini,TO,-21.2,-175.2,75.36,78,20,11.5,few clouds
74,Thongwa,MM,16.7619,96.5278,78.96,93,100,4.16,overcast clouds
75,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,40,10.36,scattered clouds
76,San Patricio,US,28.017,-97.5169,98.69,37,1,5.12,clear sky
